,Time_Second,Blink_Count,Yawn_Count,Gaze_X,Gaze_Y,BPM RAYAN
0,10,3,1,4.87,8.14,80
1,20,2,0,5.54,7.77,80
2,30,3,0,4.48,7.5,80
3,40,5,0,6.31,7.08,80
4,50,4,0,3.51,5.26,80
5,60,6,0,5.0,6.05,77
6,70,1,0,3.16,4.9,77
7,80,5,0,7.56,6.64,77
8,90,10,0,5.33,8.12,77
9,100,11,0,9.78,8.85,77
10,110,16,0,6.69,9.32,78
11,120,7,0,3.47,6.29,78
12,130,3,0,5.44,5.19,78
13,140,13,0,6.54,8.46,78
14,150,8,0,6.95,7.14,78
15,160,5,0,5.94,6.73,81
16,170,6,0,4.76,6.56,81
17,180,2,0,3.35,3.39,81
18,190,6,0,8.44,7.74,81
19,200,11,0,5.25,7.38,81
20,210,4,0,5.74,8.33,78
21,220,5,0,5.75,6.52,78
22,230,10,0,5.64,8.07,78
23,240,10,0,7.88,8.73,78
24,250,11,0,7.22,8.72,78
25,260,14,0,9.31,10.34,79
26,270,8,0,7.9,9.12,79
27,280,6,0,5.16,6.23,79
28,290,15,0,10.05,10.07,79
29,300,5,0,6.14,7.62,79
30,310,4,0,5.3,7.39,80
31,320,7,0,4.15,5.05,80
32,330,5,0,6.36,6.78,80
33,340,9,0,5.81,9.37,80
34,350,2,0,5.52,8.38,80
35,360,1,0,7.33,9.45,79
36,370,3,0,6.76,7.16,79
37,380,5,0,5.09,5.87,79
38,390,13,1,5.93,7.51,79
39,400,4,0,6.73,4.35,79
40,410,12,1,7.59,6.44,79
41,420,2,0,5.1,5.16,79
42,430,1,0,7.56,7.41,79
43,440,10,0,7.07,5.66,79
44,450,5,0,7.72,6.86,79
45,460,6,0,5.9,5.59,81
46,470,8,1,4.34,5.24,81
47,480,7,0,7.66,5.23,81
48,490,4,0,5.73,6.08,81
49,500,4,0,4.95,5.78,81
50,510,5,0,8.86,7.01,78
51,520,2,0,3.09,3.28,78
52,530,0,0,3.39,2.56,78
53,540,7,0,9.69,7.31,78
54,550,6,0,6.42,9.18,78
55,560,4,0,5.31,6.06,78
56,570,1,0,3.0,4.03,78
57,580,6,0,6.94,5.72,78
58,590,3,0,3.92,5.48,78
59,10,2,0,5.52,4.91,78
60,20,4,0,4.67,5.58,79
61,30,7,0,7.81,6.49,79
62,40,4,0,4.05,5.55,79
63,50,8,0,7.52,11.64,79
64,60,6,0,10.06,10.62,79
65,70,7,0,10.89,9.72,78
66,80,6,0,5.02,6.23,78
67,90,4,0,5.04,6.16,78
68,100,2,0,4.59,4.62,78
69,110,0,0,4.56,3.94,78
70,120,4,0,5.69,5.45,79
71,130,2,0,7.13,6.47,79
72,140,4,0,4.82,6.87,79
73,150,1,0,3.54,5.7,79
74,160,6,0,7.82,9.46,79
75,170,1,0,5.24,5.46,81
76,180,0,0,5.59,5.31,81
77,190,3,0,5.75,4.81,81
78,200,1,0,4.77,5.51,81
79,210,0,0,5.84,5.46,81
80,220,7,0,8.9,7.08,79
81,230,8,0,5.95,7.86,79
82,240,5,0,6.82,12.05,79
83,250,5,0,3.59,4.82,79
84,260,4,0,4.85,8.17,79
85,270,5,0,6.51,5.19,81
86,280,4,0,3.78,6.08,81
87,290,2,0,3.34,6.05,81
88,300,2,0,3.49,4.04,81
89,310,10,0,4.92,4.89,81
90,320,1,0,3.76,4.24,79
91,330,4,0,5.95,4.82,79
92,340,6,0,6.18,7.48,79
93,350,7,0,6.19,6.46,79
94,360,3,0,3.33,3.02,79
95,370,1,0,3.75,2.73,81
96,380,5,0,5.33,5.0,81
97,390,2,0,4.77,4.26,81
98,400,4,0,5.84,4.44,81
99,410,5,0,5.25,3.83,81
100,420,2,0,4.88,4.24,79
101,430,3,0,4.22,4.62,79
102,440,2,0,3.55,4.38,79
103,450,6,0,5.05,5.38,79
104,460,3,0,4.06,3.9,79
105,470,5,0,3.71,2.77,78
106,480,10,0,5.4,3.71,78
107,490,7,0,4.2,3.79,78
108,500,7,1,4.51,6.14,78
109,510,15,0,4.64,6.53,78
110,520,12,0,4.93,5.52,78
111,530,6,0,3.39,4.56,78
112,540,6,0,5.75,6.66,78
113,550,2,0,6.52,5.6,78
114,560,4,0,4.31,3.01,78
115,570,5,0,3.65,4.28,80
116,580,4,0,3.49,3.74,80
117,590,2,0,5.56,5.53,80
118,600,3,0,2.75,4.39,80
119,610,4,0,3.73,2.88,80
120,620,9,0,7.06,3.87,80
121,630,2,0,3.99,3.11,80
122,640,6,0,4.6,3.56,80
123,650,6,0,4.72,3.64,80
124,10,5,0,5.59,8.64,80
125,20,7,0,5.97,6.74,80
126,30,2,0,3.95,1.73,80
127,40,2,0,5.63,3.99,80
128,50,5,0,4.08,4.37,80
129,60,3,0,2.71,3.76,80
130,70,2,0,5.43,4.04,78
131,80,1,0,3.35,3.75,78
132,90,3,0,3.7,4.29,78
133,100,8,0,6.4,4.48,78
134,110,2,0,2.92,3.16,78
135,120,3,0,3.55,4.26,79
136,130,4,0,4.69,4.94,79
137,140,3,0,3.24,5.11,79
138,150,5,0,2.59,3.76,79
139,160,3,0,3.38,3.46,79
140,170,6,0,6.05,5.64,80
141,180,3,0,4.06,3.9,80
142,190,2,0,2.96,4.2,80
143,200,2,0,2.92,4.61,80
144,210,4,0,2.52,4.07,80
145,220,4,0,3.1,3.19,80
146,230,1,0,3.55,2.92,80
147,240,5,0,3.95,4.94,80
148,250,2,0,3.02,3.52,80
149,260,3,0,2.91,3.57,80
150,270,12,0,5.64,4.99,81
151,280,11,0,4.6,5.62,81
152,290,9,0,4.84,6.14,81
153,300,16,0,3.43,4.13,81
154,310,10,0,5.9,3.32,81
155,320,5,0,6.77,3.62,79
156,330,7,0,3.41,4.38,79
157,340,2,0,3.48,3.25,79
158,350,8,0,3.34,3.73,79
159,360,7,0,3.12,3.29,79
160,370,5,0,2.92,4.64,77
161,380,1,0,3.43,4.5,77
162,390,2,0,3.53,2.61,77
163,400,10,0,3.39,4.81,77
164,410,4,0,3.35,4.54,77
165,420,5,0,3.43,4.22,77
166,430,7,0,3.14,4.5,77
167,440,6,0,3.87,4.43,77
168,450,1,0,3.47,3.54,77
169,460,4,0,3.25,3.87,77
170,470,6,0,2.94,2.5,78
171,480,4,0,3.33,3.16,78
172,490,6,0,4.53,4.77,78
173,500,7,0,3.77,4.53,78
174,510,5,0,2.73,4.31,78
175,520,17,0,2.87,4.25,78
176,530,22,0,3.59,3.05,78
177,540,11,0,3.36,4.18,78
178,550,8,1,10.1,6.46,78
179,560,3,0,6.28,3.62,78
180,570,2,0,3.61,2.84,80
181,580,2,0,4.25,3.04,80
182,590,8,0,3.65,4.87,80
183,600,4,0,3.94,3.03,81
