,Time_Second,Blink_Count,Yawn_Count,Gaze_X,Gaze_Y,BPM RAYAN
0,10,9,0,5.43,4.95,76
1,20,6,1,7.86,4.64,76
2,30,4,0,8.48,4.15,76
3,40,5,0,8.01,4.19,76
4,50,6,0,9.22,5.06,76
5,60,7,0,7.03,4.95,76
6,70,7,0,5.56,4.44,76
7,80,4,0,7.31,9.25,76
8,90,8,0,9.39,5.3,76
9,100,7,0,7.06,5.05,76
10,110,7,0,6.86,3.16,77
11,120,5,0,7.43,4.22,77
12,130,5,0,6.91,4.37,77
13,140,7,0,7.62,3.01,77
14,150,6,0,6.06,3.13,77
15,160,8,0,7.96,3.41,75
16,170,8,0,6.41,3.17,75
17,180,8,0,8.73,4.1,75
18,190,6,0,7.49,4.06,75
19,200,6,0,5.2,4.48,75
20,210,8,0,5.32,5.03,73
21,220,3,0,5.1,3.66,73
22,230,3,0,5.28,3.92,73
23,240,9,0,5.75,4.91,73
24,250,8,0,6.34,4.02,73
25,260,6,0,6.18,4.64,74
26,270,5,0,8.24,4.1,74
27,280,5,0,8.02,3.5,74
28,290,6,0,7.3,3.87,74
29,300,9,0,7.23,8.04,74
30,310,8,0,5.22,4.39,75
31,320,6,0,5.86,5.57,75
32,330,13,6,4.71,3.26,75
33,340,6,0,6.92,4.48,75
34,350,5,0,6.04,4.51,75
35,360,5,0,5.73,5.21,76
36,370,5,0,7.78,4.75,76
37,380,3,0,5.17,4.14,76
38,390,3,0,7.69,5.9,76
39,400,6,0,6.41,4.8,76
40,410,10,0,5.68,4.78,74
41,420,5,0,5.27,5.06,74
42,430,5,0,5.57,4.03,74
43,440,5,0,7.52,5.19,74
44,450,5,0,5.66,5.44,74
45,460,6,0,5.09,3.96,74
46,470,6,0,5.89,4.08,74
47,480,6,0,6.92,4.16,74
48,490,7,0,6.75,5.84,74
49,500,5,0,5.34,5.6,74
50,510,7,0,6.5,4.6,70
51,520,8,0,5.14,5.22,74
52,530,5,0,5.14,3.79,77
53,540,6,0,6.79,5.29,75
54,550,6,1,7.49,4.73,70
