,Time_Second,Blink_Count,Yawn_Count,Gaze_X,Gaze_Y,BPM RAYAN,label
0,10,0,0,3.84,2.0,90,3
1,20,1,0,2.72,1.59,90,3
2,30,1,0,5.49,5.39,90,3
3,40,2,0,6.31,5.4,90,3
4,50,16,0,3.77,5.05,90,3
5,60,1,0,4.53,2.43,89,3
6,70,2,0,3.91,2.48,89,3
7,80,1,0,7.15,9.02,89,3
8,90,6,0,4.09,2.2,89,3
9,100,3,0,3.1,1.96,89,3
10,110,3,0,5.26,5.91,90,3
11,120,1,0,5.4,7.16,90,3
12,130,1,1,5.42,3.74,90,3
13,140,0,0,3.52,3.78,90,3
14,150,2,0,6.34,4.61,90,3
15,160,3,0,2.85,2.64,91,3
16,170,2,3,3.91,1.89,91,3
17,180,1,0,6.47,7.7,91,3
18,190,3,0,6.49,6.17,91,3
19,200,6,0,5.49,3.51,91,3
20,210,2,0,4.53,2.86,89,3
21,220,1,0,4.3,2.09,89,3
22,230,2,0,4.76,6.89,89,3
23,240,1,0,3.2,2.84,89,3
24,250,1,0,3.16,2.96,89,3
25,260,1,0,6.17,6.45,89,3
26,270,0,0,7.52,6.21,89,3
27,280,3,0,7.45,7.44,89,3
28,290,2,0,13.32,5.34,89,3
29,300,0,0,5.11,3.11,89,3
30,310,2,0,4.25,1.59,93,3
31,320,1,0,6.78,1.9,93,3
32,330,1,0,4.11,2.23,93,3
33,340,15,0,6.52,6.17,93,3
34,350,5,1,5.4,2.43,93,3
35,360,1,0,5.95,2.4,90,3
36,370,0,0,4.02,2.86,90,3
37,380,4,0,5.28,2.63,90,3
38,390,4,0,6.38,2.4,90,3
39,400,6,0,5.57,3.08,90,3
40,410,0,0,6.7,3.14,89,3
41,420,1,0,5.18,2.34,89,3
42,430,2,0,4.27,2.29,89,3
43,440,2,0,5.13,2.5,89,3
44,450,4,0,4.99,1.88,89,3
45,460,6,0,5.04,1.96,90,3
46,470,3,0,4.32,1.68,90,3
47,480,1,0,4.45,2.11,90,3
48,490,3,0,4.65,2.37,90,3
49,500,3,0,7.09,2.13,90,3
50,510,4,0,4.84,1.89,86,3
51,520,4,0,3.78,1.66,86,3
52,530,4,0,5.91,2.46,86,3
53,540,2,0,5.18,2.34,86,3
54,550,3,0,6.29,2.39,86,3
55,560,3,0,4.16,1.86,90,3
56,570,2,0,5.45,3.02,84,3
57,580,3,0,6.75,2.84,89,3
58,590,4,0,4.76,2.55,84,3
59,600,3,0,4.46,2.0,87,3
