,Time_Second,Blink_Count,Yawn_Count,Gaze_X,Gaze_Y,BPM RAYAN,label
0,10,1,0,6.82,3.69,74,2
1,20,1,0,5.08,4.5,74,2
2,30,1,0,6.94,4.55,74,2
3,40,0,0,4.19,4.31,74,2
4,50,2,0,5.47,5.86,74,2
5,60,1,0,5.89,6.22,73,2
6,70,8,0,6.6,4.57,73,2
7,80,1,0,6.32,3.92,73,2
8,90,1,0,6.06,5.16,73,2
9,100,0,0,4.55,4.55,73,2
10,110,0,0,4.61,2.25,74,2
11,120,0,0,3.52,2.66,74,2
12,130,0,0,3.49,3.57,74,2
13,140,1,0,4.35,3.45,74,2
14,150,0,0,4.05,2.78,74,2
15,160,0,0,4.07,2.23,72,2
16,170,1,0,4.12,2.15,72,2
17,180,2,0,5.29,2.23,72,2
18,190,1,0,6.62,4.02,72,2
19,200,0,0,3.75,3.0,72,2
20,210,1,0,5.46,2.87,73,2
21,220,2,0,4.98,3.58,73,2
22,230,1,0,3.76,2.07,73,2
23,240,1,0,3.68,2.77,73,2
24,250,0,0,7.05,2.34,73,2
25,260,2,0,4.11,2.84,73,2
26,270,0,0,7.21,5.92,73,2
27,280,0,0,4.22,2.34,73,2
28,290,0,0,4.18,1.76,73,2
29,300,3,0,6.89,4.73,73,2
30,310,0,0,4.36,2.9,72,2
31,320,0,0,3.43,2.07,72,2
32,330,7,0,4.44,3.36,72,2
33,340,2,0,5.96,2.98,72,2
34,350,0,0,5.28,3.63,72,2
35,360,9,0,4.28,2.55,74,2
36,370,1,0,6.62,4.11,74,2
37,380,1,0,4.14,2.19,74,2
38,390,1,0,3.95,2.35,74,2
39,400,6,0,6.61,3.17,74,2
40,410,0,0,4.25,2.69,73,2
41,420,0,0,4.93,4.46,73,2
42,430,2,0,4.22,3.24,73,2
43,440,0,0,3.89,4.7,73,2
44,450,0,0,5.61,3.65,73,2
45,460,5,0,4.64,4.38,72,2
46,470,5,0,6.02,4.25,72,2
47,480,1,0,3.76,2.28,72,2
48,490,2,0,3.12,2.13,72,2
49,500,0,0,5.3,3.38,72,2
50,510,0,0,4.82,5.51,73,2
51,520,0,0,5.54,3.38,73,2
52,530,1,0,6.68,3.84,73,2
53,540,0,0,5.03,5.59,73,2
54,550,7,0,9.7,5.14,73,2
55,560,5,0,5.66,4.44,74,2
56,570,4,0,6.16,4.04,68,2
57,580,0,0,4.47,2.33,77,2
58,590,1,0,4.34,4.6,69,2
