,Time_Second,Blink_Count,Yawn_Count,Gaze_X,Gaze_Y,BPM RAYAN,label
0,10,5,0,5.31,2.95,69,2
1,20,4,0,4.98,2.6,69,2
2,30,4,0,6.41,2.52,69,2
3,40,3,0,6.63,3.07,69,2
4,50,2,0,6.6,3.66,69,2
5,60,5,0,4.42,3.11,68,2
6,70,3,0,4.37,2.82,68,2
7,80,5,0,5.63,2.95,68,2
8,90,6,0,8.09,2.68,68,2
9,100,3,0,7.15,4.84,68,2
10,110,3,0,7.2,2.94,69,2
11,120,4,0,6.52,2.7,69,2
12,130,6,0,4.85,2.4,69,2
13,140,3,0,4.75,1.84,69,2
14,150,4,0,5.37,2.13,69,2
15,160,4,0,6.33,4.1,69,2
16,170,5,0,12.23,5.2,69,2
17,180,3,0,8.2,4.09,69,2
18,190,2,0,4.96,2.5,69,2
19,200,2,0,5.54,2.16,69,2
20,210,2,0,4.75,2.2,70,2
21,220,3,0,4.78,3.23,70,2
22,230,2,0,4.44,2.35,70,2
23,240,3,0,7.96,3.65,70,2
24,250,3,0,4.26,3.47,70,2
25,260,4,0,4.76,2.31,69,2
26,270,5,0,5.59,3.03,69,2
27,280,5,0,7.44,3.47,69,2
28,290,5,0,5.7,2.46,69,2
29,300,5,0,4.84,2.61,69,2
30,310,2,0,7.97,3.64,68,2
31,320,4,0,6.17,2.68,68,2
32,330,1,0,5.12,1.99,68,2
33,340,5,0,10.07,3.74,68,2
34,350,5,0,6.53,3.51,68,2
35,360,4,0,3.96,3.02,70,2
36,370,3,0,4.67,2.39,70,2
37,380,2,0,11.47,4.46,70,2
38,390,3,0,6.31,3.42,70,2
39,400,3,0,6.18,3.52,70,2
40,410,3,0,5.84,3.11,69,2
41,420,7,0,7.33,3.84,69,2
42,430,6,0,8.11,4.74,69,2
43,440,3,0,7.39,4.3,69,2
44,450,3,0,5.77,3.79,69,2
45,460,2,0,5.32,3.35,68,2
46,470,13,0,11.08,5.62,68,2
47,480,5,0,9.66,2.8,68,2
48,490,5,0,4.96,2.33,68,2
49,500,2,0,4.46,3.13,68,2
50,510,5,0,6.85,2.66,64,2
51,520,3,0,4.23,1.87,66,2
52,530,3,0,8.22,3.95,65,2
53,540,2,0,11.92,4.88,65,2
54,550,3,0,7.91,4.23,71,2
